"time"	"flux_1GHz"
"107"	920325958.568	47.9484558105469
"108"	920325968.568	47.7036552429199
"109"	920325978.568	47.3364562988281
"110"	920325988.568	47.0916557312012
"111"	920325998.568	46.7244529724121
"112"	920326008.568	46.1124496459961
"113"	920326018.568	45.6228485107422
"114"	920326028.568	46.2348518371582
"115"	920326038.568	45.2556495666504
"116"	920326048.568	45.1332473754883
"117"	920326058.568	45.5004501342773
"118"	920326068.568	44.5212478637695
"119"	920326078.568	44.2764472961426
"120"	920326088.568	44.6436462402344
"121"	920326098.568	44.3988456726074
"122"	920326108.568	43.2972412109375
"123"	920326118.568	43.6644439697266
"124"	920326128.568	44.0316429138184
"125"	920326138.568	43.1748428344727
"126"	920326148.568	43.1748428344727
"127"	920326158.568	43.6644439697266
"128"	920326168.568	42.8076400756836
"129"	920326178.568	42.8076400756836
"130"	920326188.568	43.0524406433105
"131"	920326198.568	42.9300422668457
"132"	920326208.568	42.4404411315918
"133"	920326218.568	43.0524406433105
"134"	920326228.568	43.2972412109375
"135"	920326238.568	42.1956405639648
"136"	920326248.568	41.8284378051758
"137"	920326258.568	42.1956405639648
"138"	920326268.568	42.1956405639648
"139"	920326278.568	42.5628395080566
"140"	920326288.568	43.0524406433105
"141"	920326298.568	42.3180389404297
"142"	920326308.568	42.6852416992188
"143"	920326318.568	42.3180389404297
"144"	920326328.568	42.6852416992188
"145"	920326338.568	42.6852416992188
"146"	920326348.568	43.0524406433105
"147"	920326358.568	42.1956405639648
"148"	920326368.568	43.0524406433105
"149"	920326378.568	43.1748428344727
"150"	920326388.568	42.3180389404297
"151"	920326398.568	41.8284378051758
"152"	920326408.568	42.8076400756836
"153"	920326418.568	41.9508361816406
"154"	920326428.568	43.0524406433105
"155"	920326438.568	42.1956405639648
"156"	920326448.568	43.4196434020996
"157"	920326458.568	42.4404411315918
"158"	920326468.568	42.4404411315918
"159"	920326478.568	43.2972412109375
"160"	920326488.568	42.9300422668457
"161"	920326498.568	43.5420417785645
"162"	920326508.568	44.0316429138184
"163"	920326518.568	44.6436462402344
"164"	920326528.568	44.5212478637695
"165"	920326538.568	44.8884468078613
"166"	920326548.568	45.5004501342773
"167"	920326558.568	45.3780479431152
"168"	920326568.568	45.6228485107422
"169"	920326578.568	46.3572540283203
"170"	920326588.568	45.7452507019043
"171"	920326598.568	45.2556495666504
"172"	920326608.568	46.7244529724121
"173"	920326618.568	45.9900512695312
"174"	920326628.568	45.7452507019043
"175"	920326638.568	47.214054107666
"176"	920326648.568	47.3364562988281
"177"	920326658.568	47.7036552429199
"178"	920326668.568	46.8468551635742
